"question_id","role","question_text","category","is_image","image_url","assessment_id","aspect_id"
"1","kkm","Mengapa petugas yang memiliki kualifikasi yang memadai harus mengawasi operasi apa pun yang berpotensi menimbulkan polusi?",NULL,NULL,NULL,"4",NULL
"2","kkm","Entalpi adalah ekspresi jumlah energi yang terikat dalam satu kilogram suatu zat. Total energi suatu zat terdiri dari:",NULL,NULL,NULL,"4",NULL
"3","kkm","Sebuah tangki berlapis menampung 400 ton air laut saat terisi penuh. Berapa ton cairan dengan berat 0,9300 liter yang dapat ditampungnya saat terisi penuh hingga 90%?",NULL,NULL,NULL,"4",NULL
"4","kkm","Rangkaian ini terdiri dari sumber tegangan V, sakelar pengubah S, resistor R, dan kapasitor C. Gambar tegangan/waktu 1 hingga 4 menunjukkan perubahan tegangan V (C) ketika sakelar S tiba-tiba dipindahkan dari posisi 1 ke 2 pada waktu t = 0. Hanya satu diagram yang benar. Manakah yang benar?",NULL,NULL,NULL,"4",NULL
"5","kkm","Mengapa semua kapal penumpang RoRo dibagi menjadi “zona” vertikal?",NULL,NULL,NULL,"4",NULL
"6","kkm","Apa nama kimia yang tepat untuk Soda Kaustik dalam bentuk cair?",NULL,NULL,NULL,"4",NULL
"7","kkm","Manual Pelatihan harus berisi instruksi dan informasi tentang peralatan penyelamat jiwa dan metode terbaik untuk bertahan hidup. Manual pelatihan harus berisi penjelasan rinci tentang tugas kru terkait situasi darurat. Manakah dari tugas atau kewajiban berikut yang harus dimasukkan dalam manual sesuai dengan peraturan yang berlaku?",NULL,NULL,NULL,"4",NULL
"8","kkm","Pada interval kalender berapakah peralatan pengangkat di atas kapal harus diuji secara tepat oleh orang yang berkompeten?",NULL,NULL,NULL,"4",NULL
"9","kkm","Menurut Peraturan SOLAS, semua tangki pemberat air laut khusus pada kapal tanker minyak harus memiliki sistem pencegahan korosi yang efisien seperti lapisan pelindung keras atau yang setara. Mengenai lapisan, apakah SOLAS menetapkan persyaratan warna?",NULL,NULL,NULL,"4",NULL
"10","kkm","Rangkaian ini terdiri dari dua induktor, L(1) = 6 H dan L(2) = 12 H, yang dihubungkan secara paralel. Hitunglah nilai L(S) ekivalen dari kedua induktor tersebut:",NULL,NULL,NULL,"4",NULL
"11","kkm","Peralatan/derek kargo harus diperiksa secara menyeluruh dan diuji bebannya secara berkala oleh perusahaan/galangan yang diakui. Seberapa sering pemeriksaan/uji beban tersebut harus dilakukan?",NULL,NULL,NULL,"4",NULL
"12","kkm","Manakah dari persyaratan yang tercantum mengenai sekoci penyelamat tahan api yang tidak sesuai dengan peraturan saat ini? Sistem semprotan air harus",NULL,NULL,NULL,"4",NULL
"13","kkm","Berapakah tekanan yang diperlukan saat menguji bagian-bagian sistem pemindahan oli (selang, lengan pemuatan, dll.) jika pengujian tersebut dimaksudkan untuk memenuhi peraturan Penjaga Pantai AS?",NULL,NULL,NULL,"4",NULL
"14","kkm","Rangkaian ini terdiri dari dua induktor, L(1) = 6 H dan L(2) = 12 H, yang dihubungkan seri. Hitung induktansi total ekuivalen L(S)",NULL,NULL,NULL,"4",NULL
"15","kkm","Mengingat banyaknya cairan kimia sensitif yang secara rutin memerlukan pencucian dinding sebelum dimasukkan, produk apa yang terutama digunakan sebagai bahan pembilas dalam pencucian dinding?",NULL,NULL,NULL,"4",NULL
"16","kkm","Perubahan signifikan apa pada persyaratan pengangkutan Minyak Nabati dalam kapal tanker yang diperkenalkan oleh amandemen MARPOL dan Kode IBC pada tanggal 1 Januari 2007?",NULL,NULL,NULL,"4",NULL
"17","kkm","Yang manakah “PANAMA LEAD” pada gambar?",NULL,NULL,NULL,"4",NULL
"18","kkm","Apa yang dimaksud dengan pencucian basah?",NULL,NULL,NULL,"4",NULL
"19","kkm","Wilayah laut A4 berada di wilayah laut lalu lintas radio maritim.",NULL,NULL,NULL,"4",NULL
"20","kkm","Dengan mengurangi daya pancar yang dimaksudkan dalam VHF adalah daya antara",NULL,NULL,NULL,"4",NULL
"21","kkm","Selama mode dupleks Anda dapat:",NULL,NULL,NULL,"4",NULL
"22","kkm","Frekuensi 121,5 MHz digunakan untuk:",NULL,NULL,NULL,"4",NULL
"23","kkm","Baterai EPIRB harus diganti:",NULL,NULL,NULL,"4",NULL
"24","kkm","Pada kapal RoRo, saat memuat kontainer bertumpuk ganda pada Trailer Maffi, berapa banyak kunci putar yang harus digunakan di antara 2 kontainer?",NULL,NULL,NULL,"4",NULL
"25","kkm","Sebagian besar kargo buah yang diangkut dengan pendingin memerlukan udara segar yang dimasukkan ke dalam ruang kargo untuk menghilangkan kelebihan karbon dioksida dan etilen yang dihasilkan oleh respirasi kargo, dan sensor dipasang untuk mendeteksi gas-gas ini. Instruksi pengirim sering kali menyatakan ""pergantian udara konstan"" sebagai persyaratan untuk kargo. Mengapa, meskipun ini merupakan metode sederhana untuk mengendalikan atmosfer ruang kargo, instruksi semacam ini diberikan?",NULL,NULL,NULL,"4",NULL
"26","kkm","Jenis kompresor apa yang digunakan sebagai kompresor kargo di atas kapal pengangkut gas?",NULL,NULL,NULL,"4",NULL
"27","kkm","Apakah perlu membuat rencana lintasan (atau rencana pelayaran) untuk melintasi kanal atau sungai saat menggunakan pilot?",NULL,NULL,NULL,"4",NULL
"28","kkm","Apakah Health & Safety Executive (HSE) memiliki wewenang dalam menangani masalah pengiriman?",NULL,NULL,NULL,"4",NULL
"29","kkm","Apa yang harus Anda lakukan jika suhu Larutan Hidrogen Peroksida 65% naik 2°C setiap 5 jam dan suhunya di atas 40 °C?",NULL,NULL,NULL,"4",NULL
"30","kkm","Lampu sorot wajib disediakan untuk navigasi malam di Terusan Suez. Manakah dari persyaratan berikut yang benar?",NULL,NULL,NULL,"4",NULL
"31","kkm","Jika kapal Anda hendak memuat gula, situasi manakah yang akan mengakibatkan ruang kargo gagal diperiksa?",NULL,NULL,NULL,"4",NULL
"32","kkm","Komponen elektronik manakah yang diwakili oleh simbol grafis ini?",NULL,NULL,NULL,"4",NULL
"33","kkm","Apakah nakhoda berkewajiban melakukan penyelidikan maritim jika seorang awak kapal menderita cedera parah di atas kapal dan meninggal setelah seminggu dirawat di rumah sakit di darat?",NULL,NULL,NULL,"4",NULL
"34","kkm","Bila terdapat keraguan mengenai kesegaran udara di ruang tertutup atau terbatas, tindakan apa yang harus diambil?",NULL,NULL,NULL,"4",NULL
"35","kkm","Anda berada di area dengan jarak pandang terbatas dan mendengar sinyal ini. Sinyal ini berulang dengan interval dua menit. Apa artinya?",NULL,NULL,NULL,"4",NULL
"36","kkm","Apa arti simbol berikut?",NULL,NULL,NULL,"4",NULL
"37","kkm","Kapan irisan sambungan silang penutup palka perlu diganti?",NULL,NULL,NULL,"4",NULL
"38","kkm","Pada kapal kontainer, apa yang menentukan bagaimana kontainer harus diikat?",NULL,NULL,NULL,"4",NULL
"39","kkm","Apa tujuan penambahan inhibitor pada setiap muatan?",NULL,NULL,NULL,"4",NULL
"40","kkm","Apa praktik yang baik saat melakukan lineblowing/pigging dari pantai?",NULL,NULL,NULL,"4",NULL
"41","kkm","Apa tujuan inspektur tak terjadwal di atas kapal?",NULL,NULL,NULL,"4",NULL
"42","kkm","Jika terjadi kematian penumpang di dalam kapal, tindakan hukum apa yang harus dilakukan oleh Nakhoda?",NULL,NULL,NULL,"4",NULL
"43","kkm","Warna suar apa yang digunakan untuk menandakan tempat pendaratan yang sangat berbahaya?",NULL,NULL,NULL,"4",NULL
"44","kkm","Apa definisi MARPOL untuk “zat dengan viskositas tinggi”?",NULL,NULL,NULL,"4",NULL
"45","kkm","Ketika membahas tentang sifat-sifat muatan minyak, apa yang dimaksud dengan “kandungan lilin”?",NULL,NULL,NULL,"4",NULL
"46","kkm","Berdasarkan aturan GMDSS, kapal dilengkapi dengan perangkat komunikasi radio tertentu tergantung pada:",NULL,NULL,NULL,"4",NULL
"47","kkm","Apa itu polimerisasi?",NULL,NULL,NULL,"4",NULL
"48","kkm","Dalam kasus ketika suhu udara sekitar sama dengan 10 °C dan angin bertiup dengan kecepatan 10 m/detik, orang yang terdampar di kapal harus memperhitungkan bahwa efek udara pada tubuhnya setara dengan efek udara yang suhunya kira-kira:",NULL,NULL,NULL,"4",NULL
"49","kkm","Apa yang harus dilakukan sebelum memasuki ruang pompa?",NULL,NULL,NULL,"4",NULL
"50","kkm","Apa tujuan “Kotak Lumpur” pada kapal tanker?",NULL,NULL,NULL,"4",NULL
"251","nahkoda","Kapal ini ditemukan di muara sungai. Menurut Peraturan Internasional untuk Mencegah Tabrakan dan bentuk-bentuk yang ditampilkan, kapal jenis apakah ini?",NULL,NULL,NULL,"11",NULL
"252","nahkoda","Perangkat ini dapat mendeteksi paket narkoba di dalam pengiriman besar persediaan kapal. Apa itu?",NULL,NULL,NULL,"11",NULL
"253","nahkoda","Tindakan segera apa yang harus diambil jika kapal tiba-tiba kandas dan berhenti?",NULL,NULL,NULL,"11",NULL
"254","nahkoda","Dua kapal berlayar dalam arah berlawanan akan saling melewati di sungai sempit, seperti ilustrasi. Jelaskan apa yang kemungkinan akan terjadi saat mereka saling melewati?",NULL,NULL,NULL,"11",NULL
"255","nahkoda","Siapa yang dapat menghubungi Petugas yang Ditunjuk (Designated Person) terkait kekhawatiran mereka tentang keselamatan?",NULL,NULL,NULL,"11",NULL
"256","nahkoda","Dari kode dua digit berikut, mana yang digunakan untuk mendapatkan bantuan maritim?",NULL,NULL,NULL,"11",NULL
