question_id,question_text,option_letter,option_text,score,is_image
"1,""Kapal ini ditemukan di muara sungai. Menurut Peraturan Internasional untuk Mencegah Tabrakan dan bentuk-bentuk yang ditampilkan, kapal jenis apakah ini?"",a,""Ini adalah kapal yang melakukan pengerukan atau operasi bawah air. Dua bola dalam garis vertikal menunjukkan sisi aman untuk dilewati; dua belah ketupat dalam garis vertikal menunjukkan sisi yang memiliki halangan; bola/belah ketupat/bola menunjukkan kapal dibatasi dalam kemampuannya untuk bermanuver."",0,0"
"1,""Kapal ini ditemukan di muara sungai. Menurut Peraturan Internasional untuk Mencegah Tabrakan dan bentuk-bentuk yang ditampilkan, kapal jenis apakah ini?"",b,""Ini adalah kapal yang bertugas keamanan pelabuhan. Dua bola dalam garis vertikal menunjukkan pelabuhan ditutup; dua belah ketupat dalam garis vertikal menunjukkan pelabuhan sedang melakukan operasi pembersihan ranjau; bola/belah ketupat/bola menunjukkan kapal tersebut dibatasi dalam kemampuannya untuk bermanuver."",0,0"
"1,""Kapal ini ditemukan di muara sungai. Menurut Peraturan Internasional untuk Mencegah Tabrakan dan bentuk-bentuk yang ditampilkan, kapal jenis apakah ini?"",c,""Ini adalah kapal yang melakukan pengerukan atau operasi bawah air. Dua bola dalam garis vertikal menunjukkan sisi di mana terdapat halangan; dua belah ketupat dalam garis vertikal menunjukkan sisi yang aman untuk dilewati; kombinasi bola/belah ketupat/bola secara vertikal menunjukkan bahwa kapal tersebut dibatasi dalam kemampuannya untuk bermanuver."",0,0"
"1,""Kapal ini ditemukan di muara sungai. Menurut Peraturan Internasional untuk Mencegah Tabrakan dan bentuk-bentuk yang ditampilkan, kapal jenis apakah ini?"",d,""Ini adalah kapal yang melakukan operasi pembersihan ranjau. Dua bola dalam garis vertikal menunjukkan alat penyapu aktif; dua belah ketupat dalam garis vertikal menunjukkan bahwa kapal harus diberi jarak minimal 1.000 meter; bola/belah ketupat/bola menunjukkan kapal tersebut dibatasi dalam kemampuannya untuk bermanuver."",0,0"
"2,""Perangkat ini dapat mendeteksi paket narkoba di dalam pengiriman besar persediaan kapal. Apa itu?"",a,""Pemeriksa palet (Pallet scanner)"",0,0"
"2,""Perangkat ini dapat mendeteksi paket narkoba di dalam pengiriman besar persediaan kapal. Apa itu?"",b,""Detektor uap (Vapour detector)"",0,0"
"2,""Perangkat ini dapat mendeteksi paket narkoba di dalam pengiriman besar persediaan kapal. Apa itu?"",c,""Sistem kontrol akses"",0,0"
"2,""Perangkat ini dapat mendeteksi paket narkoba di dalam pengiriman besar persediaan kapal. Apa itu?"",d,""Kontainer keamanan"",0,0"
"3,""Tindakan segera apa yang harus diambil jika kapal tiba-tiba kandas dan berhenti?"",a,""Kibarkan dua bola hitam."",0,0"
"3,""Tindakan segera apa yang harus diambil jika kapal tiba-tiba kandas dan berhenti?"",b,""Bunyi Alarm Umum."",0,0"
"3,""Tindakan segera apa yang harus diambil jika kapal tiba-tiba kandas dan berhenti?"",c,""Mundur penuh (ring full astern)."",0,0"
"3,""Tindakan segera apa yang harus diambil jika kapal tiba-tiba kandas dan berhenti?"",d,""Matikan mesin."",0,0"
"4,""Dua kapal berlayar dalam arah berlawanan akan saling melewati di sungai sempit, seperti ilustrasi. Jelaskan apa yang kemungkinan akan terjadi saat mereka saling melewati?"",a,""Karena interaksi, haluan kapal akan saling tarik saat mendekat, lalu akan saling tolak saat sejajar dan buritan akan saling tarik saat kapal menjauh."",0,0"
"4,""Dua kapal berlayar dalam arah berlawanan akan saling melewati di sungai sempit, seperti ilustrasi. Jelaskan apa yang kemungkinan akan terjadi saat mereka saling melewati?"",b,""Saat mendekat, kemudi harus segera digerakkan untuk menghindari membelok ke jalur kapal lain. Kemudian saat sejajar buritan akan saling tarik dan akhirnya saling tolak saat menjauh."",0,0"
