question_id,question_text,option_letter,option_text,score,is_image
"1,""Suar warna apa yang digunakan untuk memberi sinyal tempat pendaratan yang aman bagi perahu kecil?"",a,""Hijau (Green)."",0,0"
"1,""Suar warna apa yang digunakan untuk memberi sinyal tempat pendaratan yang aman bagi perahu kecil?"",b,""Putih."",0,0"
"1,""Suar warna apa yang digunakan untuk memberi sinyal tempat pendaratan yang aman bagi perahu kecil?"",c,""Biru."",0,0"
"1,""Suar warna apa yang digunakan untuk memberi sinyal tempat pendaratan yang aman bagi perahu kecil?"",d,""Kuning."",0,0"
"2,""Apa kelemahan dari penggunaan High Tensile Steel (HTS) dalam konstruksi kapal?"",a,""Getaran tinggi di area HTS."",0,0"
"2,""Apa kelemahan dari penggunaan High Tensile Steel (HTS) dalam konstruksi kapal?"",b,""Elastisitas rendah."",0,0"
"2,""Apa kelemahan dari penggunaan High Tensile Steel (HTS) dalam konstruksi kapal?"",c,""Kegagalan tanpa peringatan."",0,0"
"2,""Apa kelemahan dari penggunaan High Tensile Steel (HTS) dalam konstruksi kapal?"",d,""Saya tidak tahu."",0,0"
"3,""Walkie talkie portabel yang wajib dibawa sesuai regulasi GMDSS harus memiliki saluran minimal:"",a,""Hanya saluran 16."",0,0"
"3,""Walkie talkie portabel yang wajib dibawa sesuai regulasi GMDSS harus memiliki saluran minimal:"",b,""Saluran 6 & 16."",0,0"
"3,""Walkie talkie portabel yang wajib dibawa sesuai regulasi GMDSS harus memiliki saluran minimal:"",c,""Saluran 6, 13 & 16."",0,0"
"3,""Walkie talkie portabel yang wajib dibawa sesuai regulasi GMDSS harus memiliki saluran minimal:"",d,""Saluran 13 & 16."",0,0"
"4,""Apa yang harus Anda lakukan setelah menerima panggilan VHF DSC DISTRESS?"",a,""Mengatur pengawasan pada saluran VHF channel 16."",0,0"
"4,""Apa yang harus Anda lakukan setelah menerima panggilan VHF DSC DISTRESS?"",b,""Mengatur pengawasan pada saluran 13."",0,0"
"4,""Apa yang harus Anda lakukan setelah menerima panggilan VHF DSC DISTRESS?"",c,""Segera mengirimkan panggilan DSC DISTRESS RELAY."",0,0"
"4,""Apa yang harus Anda lakukan setelah menerima panggilan VHF DSC DISTRESS?"",d,""Segera mengirimkan panggilan DSC DISTRESS ACKNOWLEDGEMENT."",0,0"
"5,""Muatan cair curah yang dibawa dalam kontainer flexi-tank dianggap berbahaya:"",a,""Ketika pengirim menyatakan bahwa kontainer hanya boleh diangkut di atas geladak."",0,0"
"5,""Muatan cair curah yang dibawa dalam kontainer flexi-tank dianggap berbahaya:"",b,""Ketika lembar data keselamatan material menunjukkan adanya kandungan yang terdaftar dalam IMDG Code."",0,0"
"5,""Muatan cair curah yang dibawa dalam kontainer flexi-tank dianggap berbahaya:"",c,""Ketika dinyatakan sebagai bahan kimia yang tidak berbahaya."",0,0"
"5,""Muatan cair curah yang dibawa dalam kontainer flexi-tank dianggap berbahaya:"",d,""Ketika dinyatakan sebagai bahan makanan cair curah."",0,0"
"6,""Super-refraction memengaruhi kinerja beberapa perangkat di anjungan kapal. Apa yang harus diperhatikan oleh petugas jaga di anjungan?"",a,""Komunikasi satelit akan terganggu parah."",0,0"
