question_id,question_text,option_letter,option_text,score
"1,1,a,""Saya bisa saja melewati beberapa prosedur teknis selama hasilnya memecahkan masalah dengan cepat dan tidak langsung merugikan pihak lain."",0"
"1,1,b,""Saya tetap berusaha menyelesaikannya sesuai aturan, meski itu berarti prosesnya bisa lebih lambat dan hasilnya belum tentu langsung terlihat."",0"
"2,2,a,""Saya fokus menyelesaikan tugas sesuai alur dan instruksi yang sudah ada."",0"
"2,2,b,""Dalam kondisi kerja yang longgar, saya kadang mempertimbangkan pilihan yang lebih menguntungkan bagi saya."",0"
"3,3,a,""Saya mudah menyesuaikan diri dengan budaya atau kebiasaan kerja tim yang ada dan dianggap biasa."",0"
"3,3,b,""Saya tetap memegang prinsip pribadi meskipun dianggap berbeda oleh rekan kerja."",0"
"4,4,a,""Saya percaya bisa mengelola situasi sulit tanpa selalu mengikuti aturan secara kaku."",0"
"4,4,b,""Saya cenderung waspada dan berhati-hati dalam situasi yang tidak bisa saya prediksi sepenuhnya."",0"
"5,5,a,""Menurut saya, reputasi masih bisa diperbaiki meskipun pernah terganggu."",0"
"5,5,b,""Saya percaya reputasi yang sudah rusak akan sulit dipulihkan sepenuhnya."",0"
"6,6,a,""Menurut saya, perusahaan sebaiknya mempertimbangkan kembali track record lengkap seseorang sebelum memutuskan melakukan perekrutan kembali."",0"
"6,6,b,""Menurut saya, setiap orang berhak mendapat kesempatan kedua dalam karier mereka, terlepas dari masa lalu mereka."",0"
"7,7,a,""Saya tidak sepenuhnya menyalahkan orang yang memilih jalan pintas karena tekanan finansial."",0"
"7,7,b,""Saya sulit memahami alasan seseorang mengambil jalan pintas dalam urusan finansial."",0"
"8,8,a,""Saya kadang memilih langkah yang lebih efisien meski tidak semua sesuai dengan prosedur."",0"
"8,8,b,""Saya nyaman mengikuti langkah kerja yang sudah ditentukan dan terbukti efektif."",0"
"9,9,a,""Saya lebih memilih menjaga kekompakan tim meskipun ada hal yang tidak sepenuhnya saya setujui."",0"
"9,9,b,""Saya lebih memilih menyampaikan pendapat meski tahu itu bisa menimbulkan ketegangan."",0"
"10,10,a,""Saya merasa cukup mampu menangani dampak dari keputusan atau tindakan yang berisiko."",0"
"10,10,b,""Saya cenderung berhati-hati karena tahu tidak semua akibat dari keputusan bisa saya kendalikan."",0"
"11,11,a,""Dalam situasi mendesak, saya cenderung segera mengambil langkah yang menurut saya paling cepat menyelesaikan masalah."",0"
"11,11,b,""Saya tetap berhati-hati sebelum bertindak walau dalam situasi mendesak."",0"
"12,12,a,""Saya menggunakan alasan sakit jika merasa kondisi kesehatan saya dapat mengganggu pekerjaan."",0"
"12,12,b,""Saya menggunakan alasan sakit untuk kebutuhan yang memengaruhi kesejahteraan pribadi, termasuk alasan non-medis."",0"
"13,13,a,""Saya cenderung mencari solusi atau jalan praktis ketika menghadapi kebutuhan keuangan yang mendesak."",0"
"13,13,b,""Saya sabar dalam menunggu solusi yang tepat untuk masalah keuangan."",0"
"14,14,a,""Saya kadang memilih cara kerja yang terasa lebih menguntungkan bagi diri saya, meskipun tidak sepenuhnya sesuai dengan prosedur."",0"
"14,14,b,""Saya tetap mengikuti prosedur yang berlaku, meskipun ada cara lain yang terlihat lebih cepat atau menguntungkan."",0"
"15,15,a,""Saya cenderung menilai dan mempertimbangkan setiap permintaan sebelum memutuskan mengikuti atau tidak."",0"
"15,15,b,""Saya cenderung mengikuti arahan atasan meskipun terkadang merasa itu tidak sepenuhnya benar."",0"
"16,16,a,""Saya merasa cukup mampu menangani dampak dari keputusan atau tindakan yang berisiko."",0"
"16,16,b,""Saya cenderung berhati-hati karena tahu tidak semua akibat dari keputusan bisa saya kendalikan."",0"
