question_id,question_text,option_letter,option_text,score,is_image
"1,""Saya pernah mengatasi hambatan untuk menaklukkan tantangan penting."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"1,""Saya pernah mengatasi hambatan untuk menaklukkan tantangan penting."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"1,""Saya pernah mengatasi hambatan untuk menaklukkan tantangan penting."",c,""Menggambarkan Diri Saya"",0,0"
"1,""Saya pernah mengatasi hambatan untuk menaklukkan tantangan penting."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"2,""Ide dan proyek baru terkadang mengalihkan perhatian saya dari proyek sebelumnya."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"2,""Ide dan proyek baru terkadang mengalihkan perhatian saya dari proyek sebelumnya."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"2,""Ide dan proyek baru terkadang mengalihkan perhatian saya dari proyek sebelumnya."",c,""Menggambarkan Diri Saya"",0,0"
"2,""Ide dan proyek baru terkadang mengalihkan perhatian saya dari proyek sebelumnya."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"3,""Minat atau ketertarikan saya sering berubah dari tahun ke tahun."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"3,""Minat atau ketertarikan saya sering berubah dari tahun ke tahun."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"3,""Minat atau ketertarikan saya sering berubah dari tahun ke tahun."",c,""Menggambarkan Diri Saya"",0,0"
"3,""Minat atau ketertarikan saya sering berubah dari tahun ke tahun."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"4,""Saya tidak mudah putus asa ketika menghadapi kegagalan atau hambatan."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"4,""Saya tidak mudah putus asa ketika menghadapi kegagalan atau hambatan."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"4,""Saya tidak mudah putus asa ketika menghadapi kegagalan atau hambatan."",c,""Menggambarkan Diri Saya"",0,0"
"4,""Saya tidak mudah putus asa ketika menghadapi kegagalan atau hambatan."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"5,""Saya sangat tertarik pada suatu hal tapi kemudian kehilangan minat setelah beberapa waktu."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"5,""Saya sangat tertarik pada suatu hal tapi kemudian kehilangan minat setelah beberapa waktu."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"5,""Saya sangat tertarik pada suatu hal tapi kemudian kehilangan minat setelah beberapa waktu."",c,""Menggambarkan Diri Saya"",0,0"
"5,""Saya sangat tertarik pada suatu hal tapi kemudian kehilangan minat setelah beberapa waktu."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"6,""Saya adalah orang yang rajin dan pekerja keras."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"6,""Saya adalah orang yang rajin dan pekerja keras."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"6,""Saya adalah orang yang rajin dan pekerja keras."",c,""Menggambarkan Diri Saya"",0,0"
"6,""Saya adalah orang yang rajin dan pekerja keras."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"7,""Saya sering menetapkan suatu tujuan, namun kemudian memilih untuk mengejar tujuan yang berbeda."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"7,""Saya sering menetapkan suatu tujuan, namun kemudian memilih untuk mengejar tujuan yang berbeda."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"7,""Saya sering menetapkan suatu tujuan, namun kemudian memilih untuk mengejar tujuan yang berbeda."",c,""Menggambarkan Diri Saya"",0,0"
"7,""Saya sering menetapkan suatu tujuan, namun kemudian memilih untuk mengejar tujuan yang berbeda."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"8,""Saya kesulitan mempertahankan fokus pada proyek yang membutuhkan waktu lama atau lebih dari beberapa bulan untuk diselesaikan."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"8,""Saya kesulitan mempertahankan fokus pada proyek yang membutuhkan waktu lama atau lebih dari beberapa bulan untuk diselesaikan."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"8,""Saya kesulitan mempertahankan fokus pada proyek yang membutuhkan waktu lama atau lebih dari beberapa bulan untuk diselesaikan."",c,""Menggambarkan Diri Saya"",0,0"
"8,""Saya kesulitan mempertahankan fokus pada proyek yang membutuhkan waktu lama atau lebih dari beberapa bulan untuk diselesaikan."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"9,""Saya akan menyelesaikan apa pun yang telah saya mulai."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"9,""Saya akan menyelesaikan apa pun yang telah saya mulai."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"9,""Saya akan menyelesaikan apa pun yang telah saya mulai."",c,""Menggambarkan Diri Saya"",0,0"
"9,""Saya akan menyelesaikan apa pun yang telah saya mulai."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"10,""Saya telah atau pernah mencapai tujuan yang membutuhkan kerja keras selama bertahun-tahun."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"10,""Saya telah atau pernah mencapai tujuan yang membutuhkan kerja keras selama bertahun-tahun."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"10,""Saya telah atau pernah mencapai tujuan yang membutuhkan kerja keras selama bertahun-tahun."",c,""Menggambarkan Diri Saya"",0,0"
"10,""Saya telah atau pernah mencapai tujuan yang membutuhkan kerja keras selama bertahun-tahun."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"11,""Saya tertarik pada hal baru atau mengejar hal baru setiap beberapa bulan."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"11,""Saya tertarik pada hal baru atau mengejar hal baru setiap beberapa bulan."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"11,""Saya tertarik pada hal baru atau mengejar hal baru setiap beberapa bulan."",c,""Menggambarkan Diri Saya"",0,0"
"11,""Saya tertarik pada hal baru atau mengejar hal baru setiap beberapa bulan."",d,""Sangat Menggambarkan Diri Saya"",0,0"
"12,""Saya adalah orang yang tekun."",a,""Sangat Tidak Menggambarkan Diri Saya"",0,0"
"12,""Saya adalah orang yang tekun."",b,""Tidak Menggambarkan Diri Saya"",0,0"
"12,""Saya adalah orang yang tekun."",c,""Menggambarkan Diri Saya"",0,0"
"12,""Saya adalah orang yang tekun."",d,""Sangat Menggambarkan Diri Saya"",0,0"
